URL,purpose,owner,indexable,canonical,primary CTA,parent product,redirect target,status
/,Company and product entry,Selena Systems,yes,/,Check AI visibility or discuss an AI system,Master brand,,200
/ru,Russian company and product entry,Selena Systems,yes,/ru,Проверить AI-видимость или обсудить AI-систему,Master brand,,200
/visibility,AI Visibility product,Visibility,yes,/visibility,Run Public Readiness or compare plans,AI Visibility,,200
/ru/visibility,AI Visibility product RU,Visibility,yes,/ru/visibility,Запустить Public Readiness или сравнить тарифы,AI Visibility,,200
/check,Free Public Readiness,Visibility,yes,/check,Run Public Readiness,AI Visibility,,200
/ru/check,Free Public Readiness RU,Visibility,yes,/ru/check,Запустить Public Readiness,AI Visibility,,200
/pricing,Product and service pricing,Visibility,yes,/pricing,Choose a Visibility plan or discuss services,AI Visibility and AI Systems,,200
/ru/pricing,Product and service pricing RU,Visibility,yes,/ru/pricing,Выбрать тариф или обсудить услугу,AI Visibility and AI Systems,,200
/methodology,Measurement methodology,Visibility,yes,/methodology,Run Public Readiness,AI Visibility,,200
/ru/methodology,Measurement methodology RU,Visibility,yes,/ru/methodology,Запустить Public Readiness,AI Visibility,,200
/ai-systems,AI Systems services,AI Systems,yes,/ai-systems,Discuss an AI system,AI Systems,,200
/ai-systems/ai-audit,AI Audit service,AI Systems,yes,/ai-systems/ai-audit,Discuss an AI Audit,AI Systems,,200
/ai-systems/ai-sprint,AI Sprint service,AI Systems,yes,/ai-systems/ai-sprint,Discuss an AI Sprint,AI Systems,,200
/ai-systems/business-os,Business OS service,AI Systems,yes,/ai-systems/business-os,Discuss Business OS,AI Systems,,200
/ai-training,Legacy training service,AI Systems,yes,/ai-training,Discuss AI Systems,AI Systems,,200
/ai-automation,Legacy automation service,AI Systems,yes,/ai-automation,Discuss AI Systems,AI Systems,,200
/ai-content,Legacy content service,AI Systems,yes,/ai-content,Discuss AI Systems,AI Systems,,200
/lab,Research and education hub,Selena Lab,yes,/lab,Read a guide or run a check,Selena Lab,,200
/ru/lab,Research and education hub RU,Selena Lab,yes,/ru/lab,Открыть руководство или проверку,Selena Lab,,200
/lab/research,Research library,Selena Lab,yes,/lab/research,Explore AI Visibility research,Selena Lab,,200
/ru/lab/research,Research library RU,Selena Lab,yes,/ru/lab/research,Открыть исследования AI Visibility,Selena Lab,,200
/lab/guides,Practical guides,Selena Lab,yes,/lab/guides,Run Public Readiness,Selena Lab,,200
/ru/lab/guides,Practical guides RU,Selena Lab,yes,/ru/lab/guides,Запустить Public Readiness,Selena Lab,,200
